time_slot_id,day,startTime,endTime
Mon1,Mon,9:00,9:50
Mon2,Mon,10:00,10:50
Mon3,Mon,11:00,11:50
Mon4,Mon,12:00,12:50
Mon5,Mon,13:00,13:50
Mon6,Mon,14:00,14:50
Mon7,Mon,15:00,15:50
Mon8,Mon,16:00,16:50
Mon9,Mon,17:30,18:20
Mon11,Mon,19:20,20:10
Mon10,Mon,18:25,19:15
MonB,Mon,11:00,12:15
MonE,Mon,15:30,16:45
MonC,Mon,12:30,13:45
MonD,Mon,14:00,15:15
Mon12,Mon,20:15,21:05
Mon13,Mon,21:10,22:00
Mon13,Mon,22:05,22:55
Thu1,Thu,9:00,9:50
Tue1,Tue,9:00,9:50
Wed1,Wed,9:00,9:50
Thu2,Thu,10:00,10:50
Tue2,Tue,10:00,10:50
Wed2,Wed,10:00,10:50
Fri2,Fri,10:00,10:50
Thu3,Thu,11:00,11:50
Tue3,Tue,11:00,11:50
Wed3,Wed,11:00,11:50
Fri3,Fri,11:00,11:50
Thu4,Thu,12:00,12:50
Tue4,Tue,12:00,12:50
Wed4,Wed,12:00,12:50
Fri4,Fri,12:00,12:50
Thu5,Thu,13:00,13:50
Tue5,Tue,13:00,13:50
Wed5,Wed,13:00,13:50
Fri5,Fri,13:00,13:50
Thu6,Thu,14:00,14:50
Tue6,Tue,14:00,14:50
Wed6,Wed,14:00,14:50
Fri6,Fri,14:00,14:50
Thu7,Thu,15:00,15:50
Tue7,Tue,15:00,15:50
Wed7,Wed,15:00,15:50
Fri7,Fri,15:00,15:50
Thu8,Thu,16:00,16:50
Tue8,Tue,16:00,16:50
Wed8,Wed,16:00,16:50
Fri8,Fri,16:00,16:50
Thu9,Thu,17:30,18:20
Tue9,Tue,17:30,18:20
Wed9,Wed,17:30,18:20
Fri9,Fri,17:30,18:20
Thu10,Thu,18:25,19:15
Tue10,Tue,18:25,19:15
Wed10,Wed,18:25,19:15
Fri10,Fri,18:25,19:15
Thu11,Thu,19:20,20:10
Tue11,Tue,19:20,20:10
Wed11,Wed,19:20,20:10
Fri10,Fri,19:20,20:10
FriB,Fri,11:00,12:15
FriE,Fri,15:30,16:45
FriC,Fri,12:30,13:45
FriD,Fri,14:00,15:15
WedB,Wed,11:00,12:15
WedE,Wed,15:30,16:45
WedC,Wed,12:30,13:45
WedD,Wed,14:00,15:15
TueB,Tue,11:00,12:15
TueE,Tue,15:30,16:45
TueC,Tue,12:30,13:45
TueB,Tue,14:00,15:15
ThuB,Thu,11:00,12:15
ThuE,Thu,15:30,16:45
ThuC,Thu,12:30,13:45
ThuB,Thu,14:00,15:15
